"RESULT","TARGET_LOC","TARGET_TXT","SOURCE_LOC","SOURCE_TXT","SHARED","SCORE"
124,"luc. 5.550","**Ora** **tulit**, vultu sub nubem tristis ituro.","ov. medic. 22","Et quantos onus est **aure** **tulisse** duos.","fero; aurum",6
125,"luc. 2.123","**Ora** **ferens** miles festae rorantia mensae","ov. medic. 22","Et quantos onus est **aure** **tulisse** duos.","fero; aurum",6
126,"luc. 10.296","Nec **licuit** populis **parvum** te, Nile, videre,","ov. medic. 97","Tempore sint **parvo** molli **licet** illita vultu,","paruus; licet",6
127,"luc. 6.286","Segnius haud vidit, **quam** **malo** nauta tremente","ov. medic. 12","**Maluerint**, **quam** se, rura paterna coli:","malo; quam",6
128,"luc. 3.230","Qua **colitur** Ganges, **toto** qui solus in orbe","ov. medic. 98","Haerebit **toto** multus in ore **color**.","colo; totus",6
129,"luc. 10.280","Cambyses **longi** populos pervenit ad **aevi**,","ov. medic. 49","Sufficit et **longum** probitas perdurat in **aevum**,","aeuum; longus",6
130,"luc. 9.567","Occubuisse velim **potius**, **quam** regna videre?","ov. medic. 35","Sic **potius** vos urget amor **quam** fortibus herbis,","potis; quam",6
131,"luc. 6.235","Caesaris exemplum **potius**, **quam** mortis honestae.","ov. medic. 35","Sic **potius** vos urget amor **quam** fortibus herbis,","potis; quam",6
132,"luc. 5.499","Dum se deesse **deis**, ac non sibi **numina**, credit,","ov. medic. 83","Quamvis tura **deos** irataque **numina** placent,","numen; deus",6
133,"luc. 8.144","**Da** similes Lesbo populos, qui Marte **subactum**","ov. medic. 75","**Da** validis iuvenum pariter **subigenda** lacertis:","subigo; do",6
134,"luc. 9.493","Iamque iter omne **latet**: nec sunt discrimina **terrae**","ov. medic. 8","Nigra sub imposito marmore **terra** **latet**:","terra; lateo",6
135,"luc. 1.163","Non **auro** **tectisque** modus: mensasque priores","ov. medic. 7","Culta placent. **auro** sublimia **tecta** linuntur,","auro-aurum; tectum-tego",6
136,"luc. 7.499","Opponit, tutoque **latet** **sub** tegmine pectus,","ov. medic. 8","Nigra **sub** imposito marmore terra **latet**:","sub; lateo",6
137,"luc. 4.601","Haec illi spelunca domus: **latuisse** **sub** alta","ov. medic. 8","Nigra **sub** imposito marmore terra **latet**:","sub; lateo",6
138,"luc. 1.52","Quis deus esse **velis**, ubi regnum **ponere** mundi.","ov. medic. 19","**Vultis** odoratos **positu** variare capillos,","pono; uolo",6
139,"luc. 6.149","Hic **ubi** quaerentes socios **iam** Marte relicto","ov. medic. 61","**Iamque** **ubi** pulvereae fuerint confusa farinae,","iam; ubi-ubius",6
140,"luc. 5.303","Exercere, **venit**: nec, dum desaeviat **ira**,","ov. medic. 74","Desit et Illyrica quae **venit** **iris** humo.","ira; uenio",6
141,"luc. 1.521","**Danda** **tamen** venia est, tantorum **danda** pavorum:","ov. medic. 84","Non **tamen** accensis omnia **danda** focis.","tamen; do",6
142,"luc. 2.642","Sed quid **plura** moror? **totos** mea, nate, per ortus","ov. medic. 98","Haerebit **toto** **multus** in ore color.","multus; totus",6
143,"luc. 4.283","Inde **ubi** nulla data est **miscendi** copia Martis,","ov. medic. 85","Tus **ubi** **miscueris** radenti tubera nitro,","misceo; ubi-ubius",6
144,"luc. 3.288","Tot reges **habuere** ducem. **Colere** nec umquam","ov. medic. 26","Et vix ad **cultus** nupta, quod addat, **habet**.","colo; habeo",6
145,"luc. 9.683","Sparsisset crines, **texissetque** **ora** colubri.","ov. medic. 7","Culta placent. **auro** sublimia **tecta** linuntur,","tego; aurum",6
146,"luc. 3.431","In **sua** credebant **redituras** membra secures.","ov. medic. 40","Nec **redit** in fontes unda supina **suos**;","suus; redeo",6
147,"luc. 6.739","Eloquar, immenso **terrae** **sub** pondere quae te","ov. medic. 8","Nigra **sub** imposito marmore **terra** latet:","sub; terra",6
148,"luc. 4.355","Nec ferrum  lassaeque **manus**. Hoc hostibus **unum**,","ov. medic. 93","Arentisque rosae quantum **manus** **una** prehendat,","unus; manus",6
149,"luc. 5.494","Naufragio **venisse** volet. Iam voce **doloris**","ov. medic. 48","Et **veniet** rugis altera causa **dolor**.","dolor; uenio",6
150,"luc. 2.256","Per **se** bella **placent**?  Quid tot durasse per annos","ov. medic. 31","Est etiam **placuisse** **sibi** cuicumque voluptas;","sui; placeo",6
151,"luc. 2.353","Iura **placent**, sacrisque **deos** admittere testes.","ov. medic. 83","Quamvis tura **deos** irataque numina **placent**,","placeo-placo; deus",6
152,"luc. 7.55","Iuris **habere** sui **vellet**, pacemque timeret.","ov. medic. 20","Conspicuam gemmis **vultis** **habere** manum:","uolo; habeo",6
153,"luc. 9.1093","Colligite, atque **unam** sparsis date **manibus** urnam.","ov. medic. 93","Arentisque rosae quantum **manus** **una** prehendat,","unus; manus",6
154,"luc. 4.289","Stat victor, tenuitque **manus**, tunc frigidus **artus**","ov. medic. 36","Quas maga terribili subsecat **arte** **manus**.","artus; manus",6
155,"luc. 7.795","Et lustrare oculis campos **sub** clade **latentes**:","ov. medic. 8","Nigra **sub** imposito marmore terra **latet**:","sub; lateo",6
156,"luc. 6.684","Addidit, et quidquid mundo **dedit** **ipsa** veneni:","ov. medic. 16","**Ipsa** **dabat** virgas caesaque ligna foco.","do; ipse",6
157,"luc. 2.169","Meque **ipsum** memini, **caesi** deformia fratris","ov. medic. 16","**Ipsa** dabat virgas **caesaque** ligna foco.","caedo-caesum-caesus; ipse",6
158,"luc. 6.621","Ut **modo** defuncti tepidique cadaveris **ora**","ov. medic. 52","Candida quo possint **ora** nitere **modo**.","aurum-ora-oro-os; modo-modus",6
159,"luc. 5.686","Pendeat, et **tantus** caput **hoc** sibi fecerit orbis,","ov. medic. 66","**Huc** novies **tanto** plus tibi mellis eat.","tantus; huc",6
160,"luc. 8.666","Ex **habitu** vultuque **viri** mutasse, fatentur","ov. medic. 24","Cum comptos **habeant** saecula nostra **viros**. ","uir; habeo",6
161,"luc. 7.740","Quod **sibi** **quisque** dabit.  Cunctis en plena metallis","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",6
162,"luc. 7.40","Nunc **quoque**, tela licet **paveant** victoris iniqui,","ov. medic. 27","Se sibi **quaeque** **parant**, nec quos venentur amores","quisque; paueo",6
163,"luc. 2.147","Sed fecit **sibi** **quisque** nefas.  Semel omnia victor","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",6
164,"luc. 1.503","Naufragium **sibi** **quisque** facit: sic, urbe relicta,","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",6
165,"luc. 8.280","Expromam, mentisque meae **quo** **pondera** vergant.","ov. medic. 79","**Pondere**, si quaeris, **quo** sim contentus in illis,","pondus; quo",6
166,"luc. 10.210","Hunc **ubi** pars coeli tenuit, qua **mixta** Leonis","ov. medic. 85","Tus **ubi** **miscueris** radenti tubera nitro,","misceo; ubi-ubius",6
167,"luc. 5.368","Ipse **pavet**, ne tela **sibi** dextraeque negentur","ov. medic. 27","**Se** **sibi** quaeque **parant**, nec quos venentur amores","sui; paueo",6
168,"luc. 3.645","**Haeserunt** ibi fata diu: luctataque **multum**","ov. medic. 98","**Haerebit** toto **multus** in ore color.","haereo; multus",6
169,"luc. 7.652","Tot telis sua **fata** peti, tot **corpora** fusa,","ov. medic. 70","Et simul inflantes **corpora** frige **fabas**;","corporo-corpus; for",6
170,"luc. 1.388","Promisere manus. **It** **tantus** ad aethera clamor,","ov. medic. 66","Huc novies **tanto** plus tibi mellis **eat**.","tantus; eo",6
171,"luc. 10.230","Officiis caret **unda** **suis**: dare iussus iniquo","ov. medic. 40","Nec redit in fontes **unda** supina **suos**;","suus; unda-undo",6
172,"luc. 9.29","**Ipse** **sua**: totae post Magni funera partes","ov. medic. 68","Fulgebit speculo levior **ipsa** **suo**.","suus; ipse",6
173,"luc. 6.571","Nocte poli, Titan medium **quo** **tempore** ducit","ov. medic. 47","**Tempus** erit, **quo** vos speculum vidisse pigebit,","quo; tempus",6
174,"luc. 4.446","Insula deseritur ratibus, **quo** **tempore** primas","ov. medic. 47","**Tempus** erit, **quo** vos speculum vidisse pigebit,","quo; tempus",6
